place, population, pct_under_18, pct_between_18_64, pct_over 64, male_female_ratio
Chino city;59682.0;28.2;66.7;5.0;144.3
Montebello city;59564.0;27.1;60.9;11.9;90.2
Pico Rivera city;59177.0;30.1;60.3;9.6;96.4
Florence-Graham CDP;57147.0;39.2;55.3;5.5;101.1
Livermore city;56741.0;27.2;65.7;7.1;98.5
Merced city;56216.0;34.6;56.4;9.0;93.7
Huntington Park city;56065.0;34.5;60.0;5.6;103.8
Palo Alto city;55900.0;17.7;66.9;15.5;94.8
Encinitas city;55386.0;22.7;68.2;9.1;105.5
Spring Valley CDP;55331.0;29.9;61.7;8.4;94.2
South San Francisco city;54312.0;24.1;64.5;11.4;93.4
National City city;54249.0;27.9;62.7;9.4;117.7
Union City city;53762.0;29.6;63.2;7.1;96.1
Fountain Valley city;53691.0;23.7;69.1;7.3;97.1
Diamond Bar city;53672.0;28.6;67.2;4.2;97.0
Cerritos city;53240.0;27.7;66.5;5.7;93.9
La Mesa city;52931.0;17.5;64.2;18.3;86.4
Santee city;52902.0;28.8;62.9;8.3;94.8
Yorba Linda city;52422.0;29.8;65.2;5.0;96.3
Hacienda Heights CDP;52354.0;26.4;65.9;7.7;96.4
Camarillo city;52303.0;24.4;58.9;16.7;94.9
Lodi city;51874.0;25.2;59.1;15.7;94.3
Rosemead city;51638.0;30.4;60.7;9.0;96.0
La Habra city;51266.0;25.2;64.1;10.7;96.5
Tustin city;50689.0;23.9;68.5;7.5;100.0
Milpitas city;50686.0;26.6;68.6;4.9;114.6
Pleasanton city;50553.0;25.8;68.8;5.4;96.2
Hesperia city;50418.0;33.1;55.6;11.3;95.4
Clovis city;50323.0;30.7;61.4;7.9;88.5
Gardena city;49847.0;23.1;66.0;10.9;95.8
South Whittier CDP;49514.0;31.2;61.1;7.8;100.1
Santa Cruz city;49040.0;18.3;71.6;10.1;96.6
Rancho Cordova CDP;48731.0;27.6;64.4;8.0;91.3
Carmichael CDP;48702.0;23.2;63.1;13.7;84.7
Castro Valley CDP;48619.0;22.4;62.5;15.0;90.4
San Rafael city;48404.0;17.4;68.7;13.9;95.1
Arcadia city;48290.0;21.6;62.3;16.1;85.8
Glendora city;47828.0;26.4;63.0;10.6;92.1
Paramount city;47669.0;35.0;58.7;6.2;98.4
Novato city;47585.0;24.9;65.3;9.8;90.6
Pittsburg city;47564.0;31.1;61.1;7.7;96.0
Laguna Hills CDP;46731.0;16.0;44.4;39.6;70.8
Davis city;46209.0;16.6;77.2;6.2;93.0
Apple Valley town;46079.0;31.8;58.3;9.9;93.8
Roseville city;44685.0;27.3;61.5;11.3;90.2
Laguna Niguel city;44400.0;23.9;69.2;6.9;95.9
Poway city;43516.0;30.0;63.1;7.0;97.4
Covina city;43207.0;25.3;63.9;10.8;89.2
Petaluma city;43184.0;25.8;62.6;11.6;91.1
Altadena CDP;42658.0;25.6;62.5;11.9;88.6
Cypress city;42655.0;25.1;67.4;7.5;93.7
Rowland Heights CDP;42647.0;28.8;64.4;6.8;95.1
Bell Gardens city;42355.0;40.2;55.6;4.2;105.5
Turlock city;42198.0;29.3;58.2;12.5;88.7
North Highlands CDP;42105.0;28.5;62.8;8.7;92.4
San Luis Obispo city;41958.0;13.8;74.0;12.2;104.8
Rancho Palos Verdes city;41659.0;21.3;66.7;12.0;94.2
Azusa city;41333.0;28.8;64.3;6.9;99.8
Placentia city;41259.0;25.7;67.1;7.2;98.8
San Clemente city;41100.0;21.2;65.8;13.0;101.9
Manteca city;40773.0;32.4;59.5;8.2;97.3
Victorville city;40674.0;31.0;57.4;11.6;93.9
La Mirada city;40452.0;24.1;64.5;11.4;93.7
Cupertino city;40263.0;21.8;69.3;8.8;98.6
Colton city;40213.0;32.4;60.9;6.6;95.7
Palm Springs city;40181.0;16.4;57.8;25.8;94.8
Chico city;40079.0;18.6;72.4;9.0;99.8
Woodland city;39802.0;29.2;59.5;11.2;91.5
Lakeside CDP;39412.0;27.5;62.5;10.0;95.4
San Marcos city;38974.0;27.1;58.2;14.7;98.7
San Bruno city;38961.0;21.7;67.8;10.5;102.2
Seaside city;38901.0;26.9;67.7;5.4;145.1
Culver City city;38793.0;18.7;68.0;13.3;88.1
Newark city;37861.0;28.2;66.5;5.3;100.8
Pacifica city;37670.0;24.7;67.9;7.4;95.4
Lompoc city;37649.0;29.0;62.6;8.5;112.9
San Gabriel city;37120.0;24.3;62.3;13.4;88.5
La Puente city;36955.0;32.5;61.5;6.0;101.7
Indio city;36793.0;33.9;58.0;8.1;101.8
Rohnert Park city;36326.0;26.9;65.6;7.5;91.0
West Hollywood city;36118.0;7.1;74.6;18.3;114.6
Hemet city;36094.0;16.8;41.1;42.1;78.4
